"Id","Name","countryName","century","continentName","gender","domain"
8813,"David Copperfield","UNITED STATES",1900,"NORTH AMERICA","Male","PUBLIC FIGURE"
8814,"Dionne Warwick","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8815,"Frankie Muniz","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8816,"Frederick Reines","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
8817,"Garret Hobart","UNITED STATES",1800,"NORTH AMERICA","Male","INSTITUTIONS"
8818,"Grover Cleveland","UNITED STATES",1800,"NORTH AMERICA","Male","INSTITUTIONS"
8819,"J. Michael Straczynski","UNITED STATES",1900,"NORTH AMERICA","Male","HUMANITIES"
8820,"Jack Nicholson","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8821,"Jane Krakowski","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8822,"Janeane Garofalo","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8823,"Jay Mohr","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8824,"John Milnor","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
8825,"Jon Bon Jovi","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8826,"Laura Prepon","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8827,"Lauryn Hill","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8828,"Lee Van Cleef","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8829,"Nicholas M. Butler","UNITED STATES",1800,"NORTH AMERICA","Male","INSTITUTIONS"
8830,"Norman Mailer","UNITED STATES",1900,"NORTH AMERICA","Male","HUMANITIES"
8831,"Paul Cohen","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
8832,"Rebecca Soni","UNITED STATES",1900,"NORTH AMERICA","Female","SPORTS"
8833,"Richard Meier","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8834,"Richie Sambora","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8835,"Roy Scheider","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8836,"Tara Reid","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8837,"Tim Howard","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
8838,"Vera Farmiga","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8839,"Wally Schirra","UNITED STATES",1900,"NORTH AMERICA","Male","EXPLORATION"
8840,"William Carlos Williams","UNITED STATES",1800,"NORTH AMERICA","Male","HUMANITIES"
8841,"Geronimo","UNITED STATES",1800,"NORTH AMERICA","Male","INSTITUTIONS"
8842,"John Denver","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8843,"Brandon Flowers","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8844,"Pat Nixon","UNITED STATES",1900,"NORTH AMERICA","Female","PUBLIC FIGURE"
8845,"50 Cent","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8846,"Adrien Brody","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8847,"Al Oerter","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
8848,"Al Pacino","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8849,"Alicia Keys","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8850,"Art Garfunkel","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8851,"Barbra Streisand","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8852,"Billy Crystal","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8853,"Bob Beamon","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
8854,"Busta Rhymes","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8855,"Carmelo Anthony","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
8856,"Chris Jericho","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
8857,"Criss Angel","UNITED STATES",1900,"NORTH AMERICA","Male","PUBLIC FIGURE"
8858,"Daniel D. Tompkins","UNITED STATES",1700,"NORTH AMERICA","Male","INSTITUTIONS"
8859,"David Caruso","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8860,"David Lee","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
8861,"Dennis Ritchie","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
8862,"Don McLean","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8863,"Edward Hopper","UNITED STATES",1800,"NORTH AMERICA","Male","ARTS"
8864,"Eli Wallach","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8865,"Eugene O'Neill","UNITED STATES",1800,"NORTH AMERICA","Male","HUMANITIES"
8866,"Fran Drescher","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8867,"Frank Abagnale","UNITED STATES",1900,"NORTH AMERICA","Male","PUBLIC FIGURE"
8868,"Frank Wilczek","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
8869,"George E. Smith","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
8870,"Gerald Edelman","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
8871,"Gore Vidal","UNITED STATES",1900,"NORTH AMERICA","Male","HUMANITIES"
8872,"Hamilton O. Smith","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
8873,"Hank Azaria","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8874,"Harold E. Varmus","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
8875,"Harry Belafonte","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8876,"Hayden Panettiere","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8877,"Henry Miller","UNITED STATES",1800,"NORTH AMERICA","Male","HUMANITIES"
8878,"Henry Norris Russell","UNITED STATES",1800,"NORTH AMERICA","Male","SCIENCE"
8879,"James S. Sherman","UNITED STATES",1800,"NORTH AMERICA","Male","INSTITUTIONS"
8880,"Jason Bateman","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8881,"Jay Leno","UNITED STATES",1900,"NORTH AMERICA","Male","PUBLIC FIGURE"
8882,"Jennifer Lopez","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8883,"Jesse McCartney","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8884,"Joe Satriani","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8885,"John Carpenter","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8886,"John D. Rockefeller","UNITED STATES",1800,"NORTH AMERICA","Male","BUSINESS"
8887,"John Mott","UNITED STATES",1800,"NORTH AMERICA","Male","INSTITUTIONS"
8888,"John Petrucci","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8889,"John Williams","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8890,"Joseph Barbera","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8891,"Joseph Campbell","UNITED STATES",1900,"NORTH AMERICA","Male","HUMANITIES"
8892,"Joseph Heller","UNITED STATES",1900,"NORTH AMERICA","Male","HUMANITIES"
8893,"Julius Erving","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
8894,"Kalomoira Saranti","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8895,"Kevin James","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8896,"Lamar Odom","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
8897,"Lhasa de Sela","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8898,"LL Cool J","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8899,"Lucille Ball","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8900,"Lucy Liu","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8901,"Mae West","UNITED STATES",1800,"NORTH AMERICA","Female","ARTS"
8902,"Maria Callas","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8903,"Mark Zuckerberg","UNITED STATES",1900,"NORTH AMERICA","Male","BUSINESS"
8904,"Matt Dillon","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8905,"Mel Gibson","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8906,"Melvil Dewey","UNITED STATES",1800,"NORTH AMERICA","Male","SCIENCE"
8907,"Mercedes Ruehl","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8908,"Metta World Peace","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
8909,"Mike Portnoy","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8910,"Mira Sorvino","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8911,"Nas","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8912,"Nick Carter","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8913,"Othniel Charles Marsh","UNITED STATES",1800,"NORTH AMERICA","Male","SCIENCE"
8914,"Paulette Goddard","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8915,"Ralph Lauren","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8916,"Richard Rodgers","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8917,"Rick Rubin","UNITED STATES",1900,"NORTH AMERICA","Male","BUSINESS"
8918,"Rod Steiger","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8919,"Ron Perlman","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8920,"Rudy Giuliani","UNITED STATES",1900,"NORTH AMERICA","Male","INSTITUTIONS"
8921,"RZA","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8922,"Saoirse Ronan","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8923,"Saul Kripke","UNITED STATES",1900,"NORTH AMERICA","Male","HUMANITIES"
8924,"Sienna Miller","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
8925,"Sojourner Truth","UNITED STATES",1700,"NORTH AMERICA","Female","PUBLIC FIGURE"
8926,"Stanley Tucci","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
8927,"Steve Vai","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
